Rol;Ambientación
Anima Beyond Fantasy;Fantasía
Anima Beyond Fantasy;Ciencia Ficción
D&D;Fantasía
D&D3.5;Fantasía
Dragon Age;Fantasía
El resurgir del dragón;Fantasía
Fate;*
Hombrelobo el apocalipsis ;Realidad Alternativa
Hombrelobo el apocalipsis ;Terror
Hombrelobo el apocalipsis ;Historico Fantastico
Mago la ascension ;Realidad Alternativa
Mago la ascension ;Terror
Mago la ascension ;Historico Fantastico
Vampiro la mascarada ;Realidad Alternativa
Vampiro la mascarada ;Terror
Vampiro la mascarada ;Historico Fantastico
Vampiro Edad Oscura;Realidad Alternativa
Vampiro Edad Oscura;Terror
Vampiro Edad Oscura;Historico Fantastico
La llamada de Cthulhu;Realidad Alternativa
La llamada de Cthulhu;Terror
La llamada de Cthulhu;Historico Fantastico
La leyenda de los 5 anillos;Historico Fantastico
Pathfinder;Fantasía
